0 START
1 3 5.89011
2 4 4.66455
3 8 2.65471
4 7 2.53499
5 9 4.18081
6 7 4.12766
7 1 10.466
8 0 3.09923
9 6 9.70824
10 7 6.29859
11 0 8.41892
12 1 8.45136
13 1 5.74947
14 2 0.135096
15 4 7.32907
16 4 5.78042
17 5 8.81628
18 7 5.27885
19 9 1.77572
20 9 -1.23399
21 9 -1.28802
22 10 7.72194
23 8 4.89595
24 1 3.04717
25 8 6.5087
26 9 10.4803
27 7 3.33464
28 2 8.64146
29 5 1.11817
30 3 1.51175
31 5 5.27827
32 5 2.7808
33 4 0.999394
34 9 8.92124
35 2 10.2016
36 7 5.87296
37 9 -2.75077
38 7 4.17702
39 8 1.67553
40 1 6.36471
41 0 5.58618
42 6 10.5835
43 3 3.9409
44 3 3.80025
45 4 12.9028
46 10 3.53954
47 1 5.16565
48 2 5.15716
49 2 6.06727
50 2 2.67887
51 3 5.88518
52 7 3.53259
53 7 3.5577
54 8 9.02594
55 3 3.49615
56 10 6.80892
57 5 6.042
58 4 2.30403
59 1 6.43277
60 5 2.52372
61 3 6.78495
62 9 -0.799666
